大会,チーム,出場,出場,アタック,アタック,アタック,アタック,バックアタック,バックアタック,バックアタック,バックアタック,アタック決定本数,ブロック,ブロック,サーブ,サーブ,サーブ,サーブ,サーブ,サーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,サーブレシーブ,総得点,総得点,総得点,総得点
大会,チーム,試合数,セット数,打数,得点,失点,決定率,打数,得点,失点,決定率,セット平均,得点,セット平均,打数,ノータッチ,エース,失点,効果,効果率,受数,成功・優,成功・良,成功率,アタック,ブロック,サーブ,得点合計
2019-20 V.LEAGUE DIVISION1 WOMEN,日立リヴァーレ,19,74,445,213,21,47.9,1,0,0,0.0,2.88,87,1.18,180,4,3,19,48,7.9,1,0,1,50.0,213,87,7,307
プレミアカンファレンス,日立リヴァーレ,10,39,246,106,13,43.1,1,0,0,0.0,2.72,42,1.08,103,3,2,10,33,10.4,0,0,0,-,106,42,5,153
交流戦,日立リヴァーレ,6,24,121,59,5,48.8,0,0,0,-,2.46,26,1.08,57,1,1,5,9,5.3,0,0,0,-,59,26,2,87
チャレンジ４,日立リヴァーレ,3,11,78,48,3,61.5,0,0,0,-,4.36,19,1.73,20,0,0,4,6,2.5,1,0,1,50.0,48,19,0,67
レギュラーシーズン通算,,16,63,367,165,18,45.0,1,0,0,0.0,2.62,68,1.08,160,4,3,15,42,8.6,0,0,0,-,165,68,7,240
通算,,19,74,445,213,21,47.9,1,0,0,0.0,2.88,87,1.18,180,4,3,19,48,7.9,1,0,1,50.0,213,87,7,307
